	Unnamed: 0	Unnamed: 0.1	Pronoun-offset	A-offset	A-coref	B-offset	B-coref	A-to-pron-chr	B-to-pron-chr	A-to-pron-tk	B-to-pron-tk	A-tk-index	B-tk-index	Pronoun-tk-index	nsubj-A	pobj-A	poss-A	appos-A	dobj-A	nsubjpass-A	nsubj-B	pobj-B	poss-B	appos-B	dobj-B	nsubjpass-B	nsubj-Pronoun	pobj-Pronoun	poss-Pronoun	appos-Pronoun	dobj-Pronoun	nsubjpass-Pronoun	Commas-A-Pron	Commas-B-Pron	Period-A-Pron	Period-B-Pron	Nouns-A-Pronoun	Nouns-B-Pronoun	A-Mentions	B-Mentions	aim_bound_A	aim_bound_B
0	0	0	274	191	1	207	0	83	67	18	15	39	42	57	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	6	5	1	2	0	0
1	1	1	284	228	1	251	0	56	33	10	7	46	49	56	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	0
2	2	2	265	173	0	246	1	92	19	19	5	35	49	54	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	3	0	1	3	0	0
3	3	3	321	174	0	336	1	147	-15	31	-4	35	70	66	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	9	0	1	1	0	0
4	4	4	437	219	0	294	1	218	143	43	28	42	57	85	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	6	3	1	1	10	7	2	1	0	0
5	5	5	411	236	1	347	0	175	64	31	10	46	67	77	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	6	2	2	2	0	0
6	6	6	273	152	0	253	0	121	20	23	4	30	49	53	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	6	0	2	1	0	0
7	7	7	337	173	0	377	1	164	-40	34	-9	34	77	68	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	8	0	1	1	0	0
8	8	8	246	255	0	267	1	-9	-21	-2	-5	57	60	55	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0
9	9	9	329	196	1	226	0	133	103	22	19	30	33	52	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	3	0	0	6	5	1	1	0	0
10	10	10	300	168	0	212	1	132	88	23	16	27	34	50	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	2	0	0	6	4	1	1	0	0
11	11	11	304	217	1	285	0	87	19	16	3	38	51	54	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	5	0	1	3	0	0
12	12	12	293	247	1	273	0	46	20	7	4	50	53	57	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	1	1
13	13	13	340	275	1	297	0	65	43	13	9	47	51	60	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	1	1	0	0
14	14	14	250	219	1	235	0	31	15	7	3	45	49	52	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	0	2	0	2	1	1	0
15	15	15	295	192	0	219	0	103	76	19	13	36	42	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	1	4	2	1	2	0	0
16	16	16	384	334	1	365	0	50	19	8	2	64	70	72	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	2	1	0	1
17	17	17	330	181	0	235	0	149	95	25	15	37	47	62	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	6	3	1	1	0	0
18	18	18	335	281	0	296	1	54	39	9	7	58	60	67	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	2	1	0	1
19	19	19	476	330	0	381	1	146	95	33	24	66	75	99	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	1	1	8	5	2	4	0	0
20	20	20	234	113	0	150	1	121	84	25	17	21	29	46	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	1	1	3	1	1	1	0	0
21	21	21	304	317	1	338	0	-13	-34	-3	-7	54	58	51	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0
22	22	22	430	296	1	386	0	134	44	22	7	51	66	73	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	5	1	3	2	0	0
23	23	23	447	273	0	301	1	174	146	34	29	50	55	84	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	1	1	7	6	1	3	0	0
24	24	24	329	210	1	266	0	119	63	22	12	42	52	64	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	2	0	0	5	3	1	1	0	0
25	25	25	299	92	0	266	1	207	33	36	5	18	49	54	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	8	1	1	1	0	0
26	26	26	280	238	0	263	1	42	17	8	4	48	52	56	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	4	0	0
27	27	27	194	204	1	223	0	-10	-29	-3	-6	44	47	41	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0
28	28	28	250	153	0	189	0	97	61	19	13	34	40	53	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	1	1	1	1
29	29	29	294	241	1	258	0	53	36	9	6	45	48	54	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	2	1	0	0
30	30	30	375	248	0	283	1	127	92	31	24	51	58	82	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	3	1	1	2	0	0
31	31	31	440	229	0	301	0	211	139	40	29	50	61	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	1	1	7	4	1	1	0	0
32	32	32	466	345	0	383	1	121	83	21	15	66	72	87	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	5	3	4	4	0	0
33	33	33	375	238	0	306	0	137	69	29	15	47	61	76	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	1	1	1	5	2	2	1	0	0
34	34	34	346	206	1	325	0	140	21	30	5	47	72	77	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	6	1	1	2	0	0
35	35	35	477	340	1	460	0	137	17	20	4	53	69	73	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	3	1	0	0
36	36	36	292	227	0	237	1	65	55	12	10	47	49	59	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	3	2	1	1	0	0
37	37	37	315	246	0	301	1	69	14	18	4	43	57	61	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	5	1	2	1	0	0
38	38	38	306	209	1	295	0	97	11	18	2	41	57	59	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	4	0	2	1	0	0
39	39	39	283	161	1	264	0	122	19	25	4	35	56	60	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	5	0	1	1	0	0
40	40	40	285	194	0	218	1	91	67	15	11	40	44	55	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	3	2	0	3	0	0
